query,top_k,query_l1,kth_score,gap,optimistic_min_depth
108,10,11.987336421501823,8.403212808188982,3.5841236133128405,10
109,10,11.923117644560989,8.646171152882744,3.2769464916782454,10
110,10,12.18717259656114,8.682772438522079,3.5044001580390614,11
111,10,11.995217955802218,8.244725819371524,3.750492136430694,12
112,10,11.992973035208706,8.420286529966688,3.572686505242018,10
113,10,12.87385927210562,9.019304696470499,3.8545545756351203,15
114,10,12.080054782796651,8.37651799689047,3.7035367859061807,12
115,10,12.366913202335127,7.097847315715626,5.269065886619501,18
116,10,12.027466581668705,9.601790501561482,2.4256760801072232,7
117,10,11.990197212522617,9.045586481224746,2.944610731297871,9
118,10,11.563007320808538,7.276494367099076,4.286512953709462,12
119,10,12.23531110699696,8.514369113909197,3.720941993087763,12
120,10,12.190262777206954,9.667828035366256,2.522434741840698,8
121,10,11.870586426113732,10.18971369578503,1.6808727303287014,5
122,10,12.38901761523448,8.52385658537969,3.8651610298547894,13
123,10,12.201609675699729,9.114855178879225,3.086754496820504,10
124,10,11.909217890526634,7.931170315889176,3.9780475746374577,12
125,10,11.960544300993206,9.581587867141934,2.378956433851272,7
126,10,11.877631015413499,9.08232554843562,2.7953054669778794,8
127,10,12.137148592795711,10.470101626298856,1.667046966496855,4
96,100,12.268155367753934,7.167210543586407,5.100944824167527,17
97,100,12.46009641548153,7.237563010654412,5.222533404827118,18
98,100,12.499016300454969,6.666273658192949,5.832742642262019,21
99,100,12.408463234140072,5.859582606295589,6.548880627844483,27
100,100,12.677811554269283,7.174136661327793,5.50367489294149,21
101,100,12.056899971561506,6.086581822804874,5.970318148756633,21
102,100,12.389025245065568,6.524616517272079,5.864408727793489,22
103,100,11.924797833882621,6.7237440750323,5.201053758850321,17
104,100,12.462176758631358,7.520962024452274,4.941214734179084,17
105,100,12.093219140238944,6.9412347464385675,5.151984393800376,17
106,100,11.866035382598056,6.364997180309729,5.501038202288328,19
107,100,12.291138826010865,8.180483231481048,4.110655594529817,13
108,100,11.987336421501823,7.460988024133258,4.526348397368565,13
109,100,11.923117644560989,7.644258406420704,4.278859238140285,14
110,100,12.18717259656114,6.710688969367766,5.476483627193375,19
111,100,11.995217955802218,7.419589599754545,4.575628356047673,15
112,100,11.992973035208706,7.643178159029048,4.349794876179658,13
113,100,12.87385927210562,7.876518470235169,4.99734080187045,20
114,100,12.080054782796651,7.225519614876248,4.854535167920403,16
115,100,12.366913202335127,6.26658901036717,6.100324191967957,21
116,100,12.027466581668705,7.940983846609015,4.08648273505969,12
117,100,11.990197212522617,7.9977689307997935,3.992428281722823,13
118,100,11.563007320808538,6.402746990126616,5.160260330681922,15
119,100,12.23531110699696,7.697615635654074,4.537695471342886,15
120,100,12.190262777206954,8.048669628740754,4.1415931484662,13
121,100,11.870586426113732,8.25603112205863,3.614555304055102,11
122,100,12.38901761523448,6.9346117163077,5.45440589892678,19
123,100,12.201609675699729,8.424235517464695,3.777374158235034,12
124,100,11.909217890526634,6.816787290328648,5.092430600197986,17
125,100,11.960544300993206,8.076132374320878,3.8844119266723283,12
126,100,11.877631015413499,7.993810012667382,3.8838210027461173,12
127,100,12.137148592795711,7.908697367471177,4.228451225324534,13
128,1,12.123829333970207,11.150756126226042,0.9730732077441644,3
129,1,12.543294760544086,9.947039116494125,2.596255644049961,8
130,1,12.1384819568284,10.008775826581768,2.129706130246632,6
131,1,12.443414431982092,10.83075650302635,1.6126579289557412,5
132,1,12.56338754632452,10.530148214733345,2.033239331591176,6
133,1,12.36094250320457,10.542373427073471,1.818569076131098,5
134,1,11.853632314829156,10.267365868901834,1.586266445927322,5
135,1,12.346542696614051,11.19190740128397,1.1546352953300811,3
136,1,12.132816484663635,10.782392240595073,1.350424244068563,3
137,1,12.240667478550677,10.07919065794158,2.1614768206090957,6
138,1,12.688362294138642,8.976357982581249,3.7120043115573935,13
139,1,12.445594745222479,10.561660655308515,1.8839340899139643,6
140,1,11.956693878411897,9.619044609818957,2.3376492685929406,6
141,1,12.28542028486845,10.693695374502568,1.5917249103658833,5
142,1,12.66899808980088,12.034403023724735,0.6345950660761446,2
143,1,12.681360929418588,10.238863223203225,2.442497706215363,8
144,1,12.749933518203761,10.674696609759849,2.0752369084439124,7
145,1,11.881356692960253,10.489569451805437,1.391787241154816,3
146,1,12.515163431351539,10.53084712807322,1.9843163032783195,6
147,1,12.460626103762479,9.829640050164016,2.6309860535984626,8
148,1,11.471046456019394,9.369822349515744,2.1012241065036505,5
149,1,12.024891963490518,10.033601654082304,1.991290309408214,6
150,1,12.41805929003749,10.607601995696314,1.8104572943411767,5
151,1,12.365659792634688,10.799926640505873,1.5657331521288143,4
152,1,12.109867422972457,11.505773962315288,0.6040934606571682,2
153,1,12.041155368235195,11.528399583738064,0.5127557844971307,1
154,1,12.675919919623993,11.2831049306551,1.3928149889688939,4
155,1,12.314822680404177,10.273747040046146,2.041075640358031,6
